 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
   26,            Interstate 15,  55, 196.949, 197.049,    50.2,    52.3,    0.11,    0.08,   359.6,    -0.0,     2.2
   27,            Interstate 15,  55, 197.049, 197.149,    61.3,    58.2,    0.10,    0.09,   359.5,    -0.1,     2.2
   28,            Interstate 15,  55, 197.149, 197.249,    54.3,    47.3,    0.10,    0.08,   359.5,    -0.1,     2.1
   29,            Interstate 15,  55, 197.249, 197.349,    47.1,    54.3,    0.10,    0.09,   359.6,    -0.1,     2.2
   30,            Interstate 15,  55, 197.349, 197.449,    52.2,    43.2,    0.09,    0.09,   359.4,    -0.1,     2.1
   31,            Interstate 15,  55, 197.449, 197.549,    54.3,    42.9,    0.09,    0.08,   359.6,     0.1,     1.8
   32,            Interstate 15,  55, 197.549, 197.649,    48.6,    45.6,    0.09,    0.10,   359.6,     0.3,     2.0
   33,            Interstate 15,  55, 197.649, 197.749,    50.6,    48.5,    0.10,    0.11,   359.6,     0.3,     2.2
   34,            Interstate 15,  55, 197.749, 197.849,    47.5,    52.9,    0.10,    0.08,   359.5,     0.4,     2.3
   35,            Interstate 15,  55, 197.849, 197.949,    57.1,    57.0,    0.10,    0.07,   359.5,     0.4,     2.4
   36,            Interstate 15,  55, 197.949, 198.049,    51.6,    46.5,    0.10,    0.08,   359.5,     0.4,     2.3
   37,            Interstate 15,  55, 198.049, 198.149,    55.2,    46.7,    0.10,    0.08,   359.5,     0.5,     2.3
   38,            Interstate 15,  55, 198.149, 198.249,    50.3,    46.6,    0.10,    0.08,   359.5,     0.6,     2.1
   39,            Interstate 15,  55, 198.249, 198.349,    57.8,    57.1,    0.10,    0.08,   359.6,     0.7,     2.2
   40,            Interstate 15,  55, 198.349, 198.449,    55.9,    48.6,    0.10,    0.08,   359.5,     0.7,     2.3
   41,            Interstate 15,  55, 198.449, 198.549,    48.4,    47.2,    0.11,    0.08,   359.5,     0.7,     2.2
   42,            Interstate 15,  55, 198.549, 198.649,    46.2,    49.2,    0.09,    0.08,   359.6,     0.7,     2.1
   43,            Interstate 15,  55, 198.649, 198.749,    45.3,    44.8,    0.10,    0.09,   359.4,     0.7,     2.0
   44,            Interstate 15,  55, 198.749, 198.849,    45.4,    42.3,    0.09,    0.11,   359.6,     0.6,     2.1
   45,            Interstate 15,  55, 198.849, 198.949,    44.8,    44.6,    0.09,    0.10,   359.6,     0.7,     2.2
   46,            Interstate 15,  55, 198.949, 199.049,    47.8,    48.3,    0.08,    0.10,   359.5,     0.6,     2.2
   47,            Interstate 15,  55, 199.049, 199.149,    49.4,    52.3,    0.09,    0.09,   359.5,     0.5,     2.1
   48,            Interstate 15,  55, 199.149, 199.249,    51.3,    56.2,    0.08,    0.07,   359.5,     0.4,     1.9
   49,            Interstate 15,  55, 199.249, 199.349,    55.9,    75.1,    0.07,    0.07,   359.5,     0.5,     1.9
   50,            Interstate 15,  55, 199.349, 199.436,    63.5,    68.8,    0.07,    0.06,   359.5,     0.8,     1.6
