 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
   32,            Interstate 15,  53, 197.549, 197.649,    51.2,    50.5,    0.08,    0.07,   359.6,     0.9,     1.9
   33,            Interstate 15,  53, 197.649, 197.749,    48.2,    47.0,    0.08,    0.07,   359.5,     0.9,     2.0
   34,            Interstate 15,  53, 197.749, 197.849,    51.0,    54.6,    0.09,    0.10,   359.6,     1.0,     2.1
   35,            Interstate 15,  53, 197.849, 197.949,    54.3,    57.5,    0.08,    0.10,   359.5,     0.9,     2.2
   36,            Interstate 15,  53, 197.949, 198.049,    52.4,    51.0,    0.08,    0.08,   359.4,     0.8,     2.1
   37,            Interstate 15,  53, 198.049, 198.149,    53.5,    48.6,    0.09,    0.09,   359.6,     0.9,     2.2
   38,            Interstate 15,  53, 198.149, 198.249,    52.3,    45.6,    0.09,    0.09,   359.4,     1.0,     2.0
   39,            Interstate 15,  53, 198.249, 198.349,    52.8,    58.9,    0.08,    0.07,   359.6,     1.1,     2.1
   40,            Interstate 15,  53, 198.349, 198.449,    54.5,    46.7,    0.08,    0.08,   359.5,     1.2,     2.2
   41,            Interstate 15,  53, 198.449, 198.549,    51.0,    47.5,    0.09,    0.13,   359.5,     1.2,     2.2
   42,            Interstate 15,  53, 198.549, 198.649,    46.4,    46.7,    0.10,    0.07,   359.5,     1.2,     2.0
   43,            Interstate 15,  53, 198.649, 198.749,    47.2,    45.5,    0.11,    0.07,   359.5,     1.2,     1.9
   44,            Interstate 15,  53, 198.749, 198.849,    43.7,    46.9,    0.11,    0.09,   359.6,     1.2,     1.8
   45,            Interstate 15,  53, 198.849, 198.949,    44.4,    44.6,    0.11,    0.12,   359.6,     1.2,     2.0
   46,            Interstate 15,  53, 198.949, 199.049,    45.3,    44.0,    0.10,    0.13,   359.5,     1.2,     2.1
   47,            Interstate 15,  53, 199.049, 199.149,    51.7,    48.9,    0.10,    0.09,   359.4,     1.1,     1.9
   48,            Interstate 15,  53, 199.149, 199.249,    48.1,    53.1,    0.10,    0.08,   359.6,     0.9,     1.7
   49,            Interstate 15,  53, 199.249, 199.349,    55.6,    73.7,    0.09,    0.09,   359.5,     1.0,     1.7
   50,            Interstate 15,  53, 199.349, 199.440,    61.9,    68.1,    0.07,    0.06,   359.5,     1.3,     1.4
