distance,corridorRB,beginMi,endMi,roadway,from,to,startLat,startLong,endLat,endLong,order
0.028525, C003904N,0,0.647, DICK ROAD, Jct Flood Road, Jct Fox Farm Rd,47.450452,-111.341318,47.450309,-111.327518,96
0.029561, C005234E,1.143,0, 1st Avenue S, Jct P-10 15th St S, Jct Park Dr,47.504102,-111.281626,47.504209,-111.306058,97
0.03068, C005236W,1.136,0, 2nd Ave. S \\ 2nd St. S, Jct 1St Ave S, Jct P-10 15th St S,47.502983,-111.281632,47.504188,-111.304286,98
0.030686, C005236W,0.13,0.526, 2nd Ave. S \\ 2nd St. S, Start 3 Lane, End 3 Lane,47.502977,-111.284417,47.503018,-111.292874,99
0.030689, C005236W,1.136,0, 2nd Ave. S \\ 2nd St. S, Jct 1St Ave S, Jct P-10 15th St S,47.502974,-111.281632,47.504188,-111.304299,100
0.031972, C005242N,0,1.838, 9th Street S, Jct 13th Ave S, Jct N-102 River Dr,47.491059,-111.292209,47.517676,-111.291962,101
0.032789, C005225N,3.067,0, 13th Ave. SW\\Sun River +, End At Urban Limits, Jct Fox Farm Road,47.500874,-111.370274,47.479499,-111.327619,102
0.036083, C072125N,0,0.749, 17TH AVE S, Jct 4th St S, Jct 13th St South,47.48746,-111.284945,47.487403,-111.300943,103
0.03723, C003532N,0.994,0, 24TH AVENUE S, 26th St South, Jct 13th St South,47.479892,-111.284272,47.479763,-111.26305,104
0.037359, C003532N,0,0.994, 24TH AVENUE S, Jct 13th St South, 26th St South,47.479763,-111.26305,47.479892,-111.284272,105
0.037373, C003568N,0.781,0, 9TH ST S, Start of Avenue, Jct 13th Ave S,47.479749,-111.292427,47.491059,-111.292183,106
0.039554, C005217N,1.593,0, 25th Street, Jct N-60 10Th Ave, Jct N-102 River Dr,47.494109,-111.264315,47.517153,-111.264369,107
0.039668, C005219N,0,1.87, 38th Street, Jct N-60 10th Ave, Jct N-102 River Dr,47.493995,-111.24169,47.521056,-111.241368,108
0.039733, C005226N,0.98,0, 26th Street S, 10th Ave South, Jct 24th Ave S,47.49393,-111.262561,47.479772,-111.263063,109
0.04224, C003904N,0.643,0, DICK ROAD, Jct Fox Farm Rd, Jct Flood Road,47.450309,-111.327603,47.450452,-111.341318,110
0.042325, C003904N,0.647,0, DICK ROAD, Jct Fox Farm Rd, Jct Flood Road,47.450309,-111.327518,47.450452,-111.341318,111
0.043799, C005226N,0.7,0.22, 26th Street S, start 2 lane decreasing, end 2 lane decreasing,47.489864,-111.262587,47.482956,-111.26312,112
0.04777, C007869N,2.1,0, FLOOD RD, Woodland Est Road, Jct Dick Road,47.429921,-111.371951,47.45044,-111.341306,113
0.051141, C005226N,0.19,2.359, 26th Street S, start 2 lane increasing, Jct 8th Ave,47.482522,-111.263123,47.513897,-111.262443,114
0.053891, C005226N,0,2.359, 26th Street S, Jct 24th Ave S, Jct 8th Ave,47.479772,-111.263063,47.513897,-111.262429,115
0.065744, C005207S,3.877,0, Lower River Road, Jct 55th Ave S, Jct River Dr,47.443221,-111.293614,47.492724,-111.311264,116
0.065756, C005215S,3.966,0, 13th St. S \\ 55th Ave. S, Jct Lower River Road, Jct N-60  10th Ave S,47.443209,-111.293627,47.494215,-111.285208,117
0.073913, C003917N,0,1, WILSON BUTTE RD, Corridor 226, End of pavement,47.443209,-111.293626,47.432333,-111.285107,118
0.084736, C003917N,1,0, WILSON BUTTE RD, End of pavement, Corridor 226,47.432333,-111.285107,47.443209,-111.293626,119
