Date,Temp,Country
9/1/2008,21.401,South Korea
10/1/2008,15.804,South Korea
11/1/2008,8.087,South Korea
12/1/2008,2.185,South Korea
1/1/2009,-0.898,South Korea
2/1/2009,4.017,South Korea
3/1/2009,6.918,South Korea
4/1/2009,12.496,South Korea
5/1/2009,18.336,South Korea
6/1/2009,21.925,South Korea
7/1/2009,23.663,South Korea
8/1/2009,24.526,South Korea
9/1/2009,20.824,South Korea
10/1/2009,15.25,South Korea
11/1/2009,7.616,South Korea
12/1/2009,0.719,South Korea
1/1/2010,-1.852,South Korea
2/1/2010,2.267,South Korea
3/1/2010,5.409,South Korea
4/1/2010,9.766,South Korea
5/1/2010,17.223,South Korea
6/1/2010,22.452,South Korea
7/1/2010,25.562,South Korea
8/1/2010,26.863,South Korea
9/1/2010,21.748,South Korea
10/1/2010,14.31,South Korea
11/1/2010,7.219,South Korea
12/1/2010,0.71,South Korea
1/1/2011,-4.818,South Korea
2/1/2011,1.916,South Korea
3/1/2011,4.665,South Korea
4/1/2011,11.18,South Korea
5/1/2011,17.293,South Korea
6/1/2011,21.92,South Korea
7/1/2011,25.101,South Korea
8/1/2011,25.2,South Korea
9/1/2011,20.851,South Korea
10/1/2011,13.712,South Korea
11/1/2011,10.825,South Korea
12/1/2011,0.517,South Korea
1/1/2012,-1.36,South Korea
2/1/2012,-0.705,South Korea
3/1/2012,5.661,South Korea
4/1/2012,12.638,South Korea
5/1/2012,18.366,South Korea
6/1/2012,22.046,South Korea
7/1/2012,25.571,South Korea
8/1/2012,26.496,South Korea
9/1/2012,20.416,South Korea
10/1/2012,14.644,South Korea
11/1/2012,6.571,South Korea
12/1/2012,-1.644,South Korea
1/1/2013,-1.949,South Korea
2/1/2013,0.477,South Korea
3/1/2013,6.617,South Korea
4/1/2013,10.469,South Korea
5/1/2013,17.862,South Korea
6/1/2013,22.436,South Korea
7/1/2013,26.571,South Korea
8/1/2013,27.601,South Korea
